,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
58762063,29463,29463,00210006610013,E09000007,Camden,Inner London - West,66,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,55.8,9100.0,2010-04-01 00:00:00+00:00,2010,2017-03,4404.4,58762063,,True,2010-04-01,,True,5042156,17682907.0,C,,527993.0,185514.0,51.5540039,-0.1552269,2,,,,66.0,,,,66.0,,,,,20400210,,N,osgb1000002298728419,11.0,osgb4000000030223974,4,osgb1000005163812,3,58762063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1L,D,E05000134,2012-03-19,2,CS,249.0,POINT (527994.7771126115 185514.3135584518),2010-04-01 00:00:00,58762063,2017-04-01,2557,2010-04-01,0 days,2557,1,2557,0,1,False,True,Mansfield
58762063,29479,29479,00210006610013,E09000007,Camden,Inner London - West,66,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,55.8,9100.0,2017-04-01 00:00:00+00:00,2017,2021-03,4540.9,ENES MILDA LTD,0.0,True,2017-04-13,1449.0,True,5042156,17682907.0,C,,527993.0,185514.0,51.5540039,-0.1552269,2,,,,66.0,,,,66.0,,,,,20400210,,N,osgb1000002298728419,11.0,osgb4000000030223974,4,osgb1000005163812,3,58762063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1L,D,E05000134,2012-03-19,2,CS,249.0,POINT (527994.7771126115 185514.3135584518),2017-04-13 00:00:00,58762063,2021-04-01,1449,2010-04-01,2569 days,4018,0,1449,2569,1,False,True,Mansfield
58763063,29523,29523,00210006810015,E09000007,Camden,Inner London - West,68,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,137.22,21750.0,2017-04-01 00:00:00+00:00,2017,2021-03,10853.25,CARMODY GROARKE LIMITED,,True,2018-07-01,1005.0,True,5046599,17682905.0,CR08,,527994.0,185521.0,51.55406660000001,-0.15520989999999998,2,MACEY CHEMIST,,,68.0,,,,68.0,,,,,20400210,,N,osgb1000002298728453,14.0,osgb4000000030991201,3,osgb1000005163815,6,58763063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1N,D,E05000134,2012-03-19,2,CS,249.0,POINT (527995.7797697375 185521.315811603),2018-07-01 00:00:00,58763063,2021-04-01,1005,2010-04-01,3013 days,4018,0,1005,3013,1,False,True,Mansfield
58768063,29655,29655,00210007210018,E09000007,Camden,Inner London - West,72,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,70.2,8900.0,2017-04-01 00:00:00+00:00,2017,2021-03,4441.1,58768063,,True,2017-04-01,,True,5037776,17682909.0,CR08,,528008.0,185521.0,51.5540634,-0.1550081,1,SECOND TIME AROUND,,,72.0,,,,72.0,,,,,20400210,,N,osgb1000002298777135,17.0,osgb4000000030223974,4,osgb1000005303982,4,58768063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1Q,D,E05000134,2012-03-19,1,CS,249.0,POINT (528009.7784290477 185521.3128237159),2017-04-01 00:00:00,58768063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Mansfield
58772063,29743,29743,00210007610011,E09000007,Camden,Inner London - West,76,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,71.3,9600.0,2017-04-01 00:00:00+00:00,2017,2021-03,4790.4,58772063,,True,2017-04-01,,True,5010190,50596304.0,CR,,528018.0,185526.0,51.5541061,-0.1548621,2,BRIC A BRAC,,,76.0,,,,76.0,,,,,20400210,,N,osgb1000002298939137,8.0,osgb4000000030223974,4,osgb1000005303984,5,58772063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1Y,D,E05000134,2012-03-19,2,CS,249.0,POINT (528019.7800181081 185526.3165794146),2017-04-01 00:00:00,58772063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Mansfield
58826063,398037,398037,00000185303007,E09000007,Camden,Inner London - West,OLD OAK 1,MANSFIELD ROAD,LONDON,NW3 2JD,Public Houses/Pub Restaurants (National Scheme),226,Retail Restaurants & Cafes,Retail,81.80117412464091,19200.0,2017-04-01 00:00:00+00:00,2017,2021-03,9580.8,MARS INNS LTD - DISSOLVED,7399.59,True,2013-05-20,2873.0,True,5011899,17682971.0,CR06,,528274.0,185614.0,51.5548389,-0.15113959999999999,1,THE OLD OAK,,,1.0,,,,1.0,,,,,20400210,,N,osgb1000002298776893,12.0,osgb4000000030355826,4,osgb1000005303943,4,58826063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2JD,NW3 2JD,S,1B,D,E05000134,2012-03-19,1,CL,226.0,POINT (528275.7802483515 185614.323869609),2013-05-20 00:00:00,58826063,2021-04-01,2873,2010-04-01,1145 days,4018,0,2873,1145,1,False,True,Mansfield
58829063,29347,29347,00210000500007,E09000007,Camden,Inner London - West,5,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,40.1,6100.0,2017-04-01 00:00:00+00:00,2017,2021-03,3043.9,PAWLEY & MALYON LLP,,True,2010-04-01,4018.0,True,5035060,17682970.0,CR,,528263.0,185610.0,51.5548054,-0.1512996,2,MANSFIELD NEWSAGENT,,,5.0,,,,5.0,,,,,20400210,,N,osgb1000002298883996,12.0,osgb4000000030355810,3,osgb1000005303947,5,58829063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2JD,NW3 2JD,S,1F,D,E05000134,2012-03-19,1,CS,249.0,POINT (528264.7826838265 185610.3181528097),2010-04-01 00:00:00,58829063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Mansfield
58830063,29391,29391,00210000700009,E09000007,Camden,Inner London - West,7,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,71.3,7100.0,2017-04-01 00:00:00+00:00,2017,2021-03,3542.9,ANGELANA INVESTMENTS LTD,,True,2010-04-01,4018.0,True,5016110,17682974.0,C,,528259.0,185607.0,51.5547794,-0.15135839999999998,1,,,,7.0,,,,7.0,,,,,20400210,,N,osgb1000002298776896,13.0,osgb4000000030355810,3,osgb1000005303948,6,58830063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2JD,NW3 2JD,S,1G,D,E05000134,2012-03-19,0,CS,249.0,POINT (528260.7795495057 185607.3238064825),2010-04-01 00:00:00,58830063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Mansfield
104371063,29526,29526,00210007010016,E09000007,Camden,Inner London - West,GND F 70,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,75.1,11500.0,2010-04-01 00:00:00+00:00,2010,2010-12,4680.5,104371063,,True,2010-04-01,,True,5014663,17682908.0,CR02,,528003.0,185520.0,51.55405560000001,-0.1550805,2,MANSFIELD LAUNDERETTE,,,70.0,,,,70.0,,,,,20400210,,N,osgb1000002298728454,11.0,osgb4000000030223974,4,osgb1000001786384421,4,104371063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1P,D,E05000134,2012-03-19,2,CS,249.0,POINT (528004.7812143207 185520.3188249499),2010-04-01 00:00:00,104371063,2011-01-01,275,2010-04-01,0 days,275,1,275,0,1,False,True,Mansfield
104371063,29567,29567,00210007010016,E09000007,Camden,Inner London - West,GND F 70,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,75.1,11500.0,2017-04-01 00:00:00+00:00,2017,2021-03,5738.5,JIREHOUSE,415.4,True,2011-01-10,3734.0,True,5014663,17682908.0,CR02,,528003.0,185520.0,51.55405560000001,-0.1550805,2,MANSFIELD LAUNDERETTE,,,70.0,,,,70.0,,,,,20400210,,N,osgb1000002298728454,11.0,osgb4000000030223974,4,osgb1000001786384421,4,104371063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1P,D,E05000134,2012-03-19,2,CS,249.0,POINT (528004.7812143207 185520.3188249499),2011-01-10 00:00:00,104371063,2021-04-01,3734,2010-04-01,284 days,4018,0,3734,284,1,False,True,Mansfield
104372063,29681,29681,0021000741001A,E09000007,Camden,Inner London - West,GND F 74,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,87.3,7900.0,2010-04-01 00:00:00+00:00,2010,2016-09,3823.6,104372063,,True,2010-04-01,,True,5060262,17682910.0,C,,528013.0,185523.0,51.554080299999995,-0.15493529999999994,2,,,,74.0,,,,74.0,,,,,20400210,,N,osgb1000002298777136,12.0,osgb4000000030223974,4,osgb1000005303983,5,104372063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1A,D,E05000134,2012-03-19,1,CS,249.0,POINT (528014.7778443125 185523.3194888245),2010-04-01 00:00:00,104372063,2016-10-01,2375,2010-04-01,0 days,2375,1,2375,0,1,False,True,Mansfield
104372063,29699,29699,0021000741001A,E09000007,Camden,Inner London - West,GND F 74,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,87.3,7900.0,2017-04-01 00:00:00+00:00,2017,2021-03,3942.1,INTERSTELLAR WOK LTD,524.11,True,2016-10-25,1619.0,True,5060262,17682910.0,C,,528013.0,185523.0,51.554080299999995,-0.15493529999999994,2,,,,74.0,,,,74.0,,,,,20400210,,N,osgb1000002298777136,12.0,osgb4000000030223974,4,osgb1000005303983,5,104372063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1A,D,E05000134,2012-03-19,1,CS,249.0,POINT (528014.7778443125 185523.3194888245),2016-10-25 00:00:00,104372063,2021-04-01,1619,2010-04-01,2399 days,4018,0,1619,2399,1,False,True,Mansfield
104374063,29787,29787,00210007810013,E09000007,Camden,Inner London - West,GND F 78,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,56.4,7400.0,2017-04-01 00:00:00+00:00,2017,2021-03,3692.6,104374063,,True,2017-04-01,,True,5027862,17682912.0,CR,,528023.0,185529.0,51.554131899999994,-0.15478889999999998,2,,,,78.0,,,,78.0,,,,,20400210,,N,osgb1000002298896852,13.0,osgb4000000030991044,2,osgb1000005303987,7,104374063.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1D,D,E05000134,2012-03-19,2,CS,249.0,POINT (528024.7821860841 185529.3136750445),2017-04-01 00:00:00,104374063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Mansfield
169263063,29611,29611,002100072000A6,E09000007,Camden,Inner London - West,ADSHEL 0105 OPP 72,MANSFIELD ROAD,LONDON,NW3 2HU,Advertising Right,3,Other Public,,2.0,750.0,2017-04-01 00:00:00+00:00,2017,2021-03,374.25,CLEAR CHANNEL UK LIMITED,207.0,True,2010-04-01,4018.0,True,5163022,,CZ01,,528219.0,185604.0,51.5547615,-0.15193610000000002,1,,,,,,,,,,,,ADVERTISING RIGHT AND PREMISES ADSHEL 0105 OPPOSITE 72,20400210,,N,,,osgb4000000030425644,2,osgb1000001786557679,4,169263063.0,MANSFIELD ROAD,,,LONDON,CAMDEN,,,NW3 2JB,,,N,E05000134,,0,CA,3.0,POINT (528220.7817287766 185604.3211894662),2010-04-01 00:00:00,169263063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Mansfield
6249003000,29303,29303,00210000100017,E09000007,Camden,Inner London - West,GND FLR 1A,MANSFIELD ROAD,LONDON,NW3 2JD,Shops,249,Retail High Street,Retail,18.18,3550.0,2017-04-01 00:00:00+00:00,2017,2021-03,1771.45,6249003000,,True,2017-04-01,,True,5137400,27905155.0,C,,528289.0,185630.0,51.55497929999999,-0.15091749999999998,1,,,1A,,,,,1.0,A,,,,20400210,,N,osgb1000002298896851,11.0,osgb4000000030355826,4,osgb5000005160060579,1,6249003000.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2JD,NW3 2JD,S,1J,D,E05000134,2012-03-19,1,CO,249.0,POINT (528290.7822341318 185630.3262101694),2017-04-01 00:00:00,6249003000,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Mansfield
6530445000,29831,29831,00210008000001,E09000007,Camden,Inner London - West,80,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,65.67,9200.0,2017-04-01 00:00:00+00:00,2017,2021-03,4590.8,S & M HAIR & BEAUTY  LTD,1416.85,True,2010-04-01,4018.0,True,5055968,17682913.0,P,,528028.0,185529.0,51.554130799999996,-0.1547169,1,,,,80.0,,,,80.0,,,,,20400210,,N,osgb1000002298777138,12.0,osgb4000000030991044,2,osgb1000005303985,4,6530445000.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1E,D,E05000134,2012-03-19,2,CS,249.0,POINT (528029.7766284094 185529.3172732057),2010-04-01 00:00:00,6530445000,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Mansfield
6949699000,29398,29398,00210006200001,E09000007,Camden,Inner London - West,62,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,42.91,9400.0,2009-09-29 00:00:00+00:00,2010,2011-12,4004.4,6949699000,,True,2010-04-01,,True,5027967,50585989.0,C,,527983.0,185509.0,51.5539613,-0.1553729,1,,,,62.0,,,,62.0,,,,,20400210,,N,osgb1000002298938904,3.0,osgb4000000030991045,3,osgb1000005163808,2,6949699000.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1U,D,E05000134,2012-03-19,3,CS,249.0,POINT (527984.7751960582 185509.3209733694),2010-04-01,6949699000,2012-01-01,640,2010-04-01,0 days,640,1,640,0,1,False,True,Mansfield
6949699000,29435,29435,00210006200001,E09000007,Camden,Inner London - West,62,MANSFIELD ROAD,LONDON,NW3 2HU,Shops,249,Retail High Street,Retail,42.91,9400.0,2017-04-01 00:00:00+00:00,2017,2021-03,4690.6,SUCANO LIMITED,55.79,True,2012-03-23,3296.0,True,5027967,50585989.0,C,,527983.0,185509.0,51.5539613,-0.1553729,1,,,,62.0,,,,62.0,,,,,20400210,,N,osgb1000002298938904,3.0,osgb4000000030991045,3,osgb1000005163808,2,6949699000.0,MANSFIELD ROAD,,MANSFIELD ROAD,LONDON,CAMDEN,LONDON,NW3 2HU,NW3 2HU,S,1U,D,E05000134,2012-03-19,3,CS,249.0,POINT (527984.7751960582 185509.3209733694),2012-03-23 00:00:00,6949699000,2021-04-01,3296,2010-04-01,722 days,4018,0,3296,722,1,False,True,Mansfield
