highstreet_name,pub,library,bar,cafe,toilet,waste_basket,artwork,post_box,supermarket,monument,bank,hospital,convenience,pharmacy,restaurant,fast_food,telephone,hotel,playground,recycling,car_sharing,post_office,police,memorial,school,recycling_glass,nightclub,bicycle_shop,atm,sports_centre,community_centre,veterinary,drinking_water,attraction,fountain,theatre,hostel,museum,newsagent,bookshop,bakery,clothes,mobile_phone_shop,ruins,hairdresser,butcher,department_store,beauty_shop,car_dealership,optician,furniture_shop,college,chemist,courthouse,camera_surveillance,dentist,doityourself,jeweller,viewpoint,wayside_shrine,bicycle_rental,bench,mall,gift_shop,doctors,toy_shop,beverages,recycling_paper,kiosk,shelter,sports_shop,travel_agent,university,greengrocer,laundry,car_rental,tourist_info,florist,cinema,shoe_shop,stationery,garden_centre,kindergarten,arts_centre,recycling_clothes,vending_parking,vending_any,water_well,comms_tower,guesthouse,car_wash,computer_shop,video_shop,vending_machine,picnic_site,swimming_pool,park,observation_tower
"Belsize Lane, Belsize Park.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brecknock Road & York Way.,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden Town HS,7,1,13,16,7,16,5,7,2,2,2,0,3,4,43,14,30,3,1,11,0,1,0,4,0,0,2,0,12,2,1,0,0,2,0,0,1,1,2,3,6,26,3,0,7,1,0,3,0,1,2,0,1,0,8,0,0,5,0,0,6,19,0,2,0,1,2,1,0,2,1,0,0,0,0,1,8,1,1,8,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
"Cricklewood Broadway, Cricklewood.",2,0,0,2,0,0,0,1,0,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eversholt Street, Somers Town",3,0,0,2,0,0,1,0,0,0,0,0,1,2,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fortress Road, Tufnell Park.",3,0,2,9,0,20,0,7,2,0,0,0,6,2,15,4,7,0,0,4,1,1,0,1,0,0,0,1,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,4,1,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Fortune Green Road, Fortune Green.",0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hampstead High Street, Hampstead.",1,0,0,2,0,0,3,6,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Haverstock Hill, Belsize Park.",1,0,0,4,0,0,0,3,0,0,0,0,1,1,7,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Highgate High Street, Highgate.",2,0,0,0,0,6,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Kentish Town Road.,4,0,0,2,0,9,0,3,0,0,0,0,0,1,2,1,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kilburn High Road, Kilburn.",0,0,2,1,0,3,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loudoun Road, South Hampstead.",0,0,0,2,0,3,0,1,1,0,0,0,2,0,2,0,3,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mansfield Road, Gospel Oak",0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Mill Lane, West Hampstead.",1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Queen’s Crescent, Gospel Oak.",2,0,0,0,1,0,0,2,1,0,0,0,1,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regent’s Park Road.,1,1,0,7,0,0,0,2,0,0,0,0,1,1,7,0,3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,2,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South End Road, Hampstead.",2,0,0,4,0,3,0,2,1,0,0,0,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West End Lane, West Hampstead.",3,0,0,11,1,6,0,10,4,0,2,0,6,1,18,10,6,0,0,1,3,2,0,1,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,36,0,1,0,1,1,0,1,0,1,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
"Willesden Lane, Brondesbury.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
